Date,coffee_c,coffee_c_log_return,soybeans,soybeans_log_return,sugar,sugar_log_return,usd_brl,usd_brl_log_return,coffee_c_log_return_lag_1,coffee_c_log_return_lag_2,coffee_c_log_return_lag_3,coffee_c_log_return_lag_5,coffee_c_log_return_lag_10,coffee_c_log_return_lag_20,coffee_c_log_return_roll_mean_5,coffee_c_log_return_roll_std_5,coffee_c_log_return_roll_mean_10,coffee_c_log_return_roll_std_10,coffee_c_log_return_roll_mean_20,coffee_c_log_return_roll_std_20,soybeans_log_return_lag_0,soybeans_log_return_lag_1,soybeans_log_return_lag_2,soybeans_log_return_lag_3,soybeans_log_return_lag_5,sugar_log_return_lag_0,sugar_log_return_lag_1,sugar_log_return_lag_2,sugar_log_return_lag_3,sugar_log_return_lag_5,usd_brl_log_return_lag_0,usd_brl_log_return_lag_1,usd_brl_log_return_lag_2,usd_brl_log_return_lag_3,usd_brl_log_return_lag_5
2007-08-24,114.65,,849.0,,9.39,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-27,113.1,-0.0136116261818388,856.5,0.0087951314528265,9.46,0.0074270898436155,1.91,-0.0155847310166983,,,,,,,,,,,,,0.0087951314528265,,,,,0.0074270898436155,,,,,-0.0155847310166983,,,,
2007-08-28,113.65,0.0048511671764774,855.25,-0.0014604939064604,9.45,-0.0010576415581358,1.93,0.0104167608582557,-0.0136116261818388,,,,,,,,,,,,-0.0014604939064604,0.0087951314528265,,,,-0.0010576415581358,0.0074270898436155,,,,0.0104167608582557,-0.0155847310166983,,,
2007-08-29,112.65,-0.0088378834202993,858.5,0.0037928564798166,9.42,-0.0031796529173795,1.95,0.0103093696588613,0.0048511671764774,-0.0136116261818388,,,,,,,,,,,0.0037928564798166,-0.0014604939064604,0.0087951314528265,,,-0.0031796529173795,-0.0010576415581358,0.0074270898436155,,,0.0103093696588613,0.0104167608582557,-0.0155847310166983,,
2007-08-30,111.75,-0.0080214333845747,870.5,0.0138810788707131,9.54,0.0126583968719233,1.92,-0.0155041865359653,-0.0088378834202993,0.0048511671764774,-0.0136116261818388,,,,,,,,,,0.0138810788707131,0.0037928564798166,-0.0014604939064604,0.0087951314528265,,0.0126583968719233,-0.0031796529173795,-0.0010576415581358,0.0074270898436155,,-0.0155041865359653,0.0103093696588613,0.0104167608582557,-0.0155847310166983,
2007-08-31,112.65,0.0080214333845747,868.0,-0.002876044547893,9.48,-0.0063091691932646,1.91,-0.0052219439811517,-0.0080214333845747,-0.0088378834202993,0.0048511671764774,,,,-0.0035196684851321394,0.0094029892786713,,,,,-0.002876044547893,0.0138810788707131,0.0037928564798166,-0.0014604939064604,,-0.0063091691932646,0.0126583968719233,-0.0031796529173795,-0.0010576415581358,,-0.0052219439811517,-0.0155041865359653,0.0103093696588613,0.0104167608582557,
2007-09-04,114.55,0.0167257420212516,892.5,0.0278347989934433,9.45,-0.0031695747612792,1.91,0.0,0.0080214333845747,-0.0080214333845747,-0.0088378834202993,-0.0136116261818388,,,0.0025478051554859403,0.010927290194978921,,,,,0.0278347989934433,-0.002876044547893,0.0138810788707131,0.0037928564798166,0.0087951314528265,-0.0031695747612792,-0.0063091691932646,0.0126583968719233,-0.0031796529173795,0.0074270898436155,0.0,-0.0052219439811517,-0.0155041865359653,0.0103093696588613,-0.0155847310166983
2007-09-05,112.45,-0.0185027304941804,889.0,-0.0039292781398891,9.38,-0.007434978487518,1.93,0.0104167608582557,0.0167257420212516,0.0080214333845747,-0.0080214333845747,0.0048511671764774,,,-0.0021229743786456198,0.014198251223979544,,,,,-0.0039292781398891,0.0278347989934433,-0.002876044547893,0.0138810788707131,-0.0014604939064604,-0.007434978487518,-0.0031695747612792,-0.0063091691932646,0.0126583968719233,-0.0010576415581358,0.0104167608582557,0.0,-0.0052219439811517,-0.0155041865359653,0.0104167608582557
2007-09-06,113.55,0.0097345901462428,878.0,-0.0124506418787877,9.37,-0.0010666667678025,1.92,-0.0051948168771039,-0.0185027304941804,0.0167257420212516,0.0080214333845747,-0.0088378834202993,,,0.0015915203346628004,0.014429880711783236,,,,,-0.0124506418787877,-0.0039292781398891,0.0278347989934433,-0.002876044547893,0.0037928564798166,-0.0010666667678025,-0.007434978487518,-0.0031695747612792,-0.0063091691932646,-0.0031796529173795,-0.0051948168771039,0.0104167608582557,0.0,-0.0052219439811517,0.0103093696588613
2007-09-07,113.75,0.0017597892794922,891.0,0.014697833835692,9.41,0.0042598573469576,1.92,-0.0051948168771039,0.0097345901462428,-0.0185027304941804,0.0167257420212516,-0.0080214333845747,,,0.003547764867476181,0.013429173478791948,,,,,0.014697833835692,-0.0124506418787877,-0.0039292781398891,0.0278347989934433,0.0138810788707131,0.0042598573469576,-0.0010666667678025,-0.007434978487518,-0.0031695747612792,0.0126583968719233,-0.0051948168771039,-0.0051948168771039,0.0104167608582557,0.0,-0.0155041865359653
